"sid","sinstrument","ssymbol","sexpiry_dt","tdopen","tdhigh","tdlow","tdclose","tdtimestamp","twopen","twhigh","twlow","twclose","twtimestamp","tmopen","tmhigh","tmlow","tmclose","tmtimestamp","tyopen","tyhigh","tylow","tyclose","tytimestamp","dopen","dhigh","dlow","dclose","dtimestamp","wopen","whigh","wlow","wclose","wtimestamp","mopen","mhigh","mlow","mclose","mtimestamp","yopen","yhigh","ylow","yclose","ytimestamp","slastupdatedate"
704,"EQ","GANESHBE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"124.90","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"132.00","134.00","128.05","128.85","14-OCT-2022","132.90","136.60","127.85","128.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
705,"EQ","GANESHHOUC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"351.65","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"385.65","391.00","378.90","381.15","14-OCT-2022","378.45","397.95","372.80","381.15","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
706,"EQ","GANGAFORGE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.70","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"5.85","5.85","5.60","5.60","14-OCT-2022","6.20","6.20","5.60","5.60","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
707,"EQ","GANGESSECU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"107.50","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"107.50","109.15","103.35","107.05","14-OCT-2022","106.30","110.55","103.25","107.05","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
708,"EQ","GARFIBRES",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3379.90","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3405.15","3490.00","3388.55","3452.35","14-OCT-2022","3490.00","3490.00","3351.05","3452.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
709,"EQ","GATEWAY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"66.65","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"72.05","72.70","71.55","72.00","14-OCT-2022","69.25","72.70","69.00","72.00","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
710,"EQ","GATI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"157.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"178.50","179.80","173.20","174.90","14-OCT-2022","177.05","186.90","172.40","174.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
711,"EQ","GAYAPROJ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.90","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"13.80","13.80","12.80","13.05","14-OCT-2022","10.65","13.90","10.15","13.05","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
712,"EQ","GEECEE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"142.45","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"148.45","148.45","143.10","144.85","14-OCT-2022","153.60","153.60","142.45","144.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
713,"EQ","GEEKAYWIRE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"66.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"60.15","60.40","58.15","59.50","14-OCT-2022","64.95","64.95","58.15","59.50","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
